Producers,Headquarters,Value chain,Website,Species,Production process,Industry (Applications),Industry subsector tags,Investors,Association focus,Founding year,Start-up/scale-up?,Total disclosed investments since 2020,Development stage
Algas La Patrona,Spain,Farming & harvesting,https://algaslapatrona.com/en/,Saccharina sp.,Wild harvesting,Food,,,,,,$0,
Algas Organics,Saint Lucia,"Farming & harvesting,Applications",https://www.algasorganics.com/,Sargassum sp.,Wild harvesting,"HABs,Plant & soil nutrition",,"Solyco Capital,Blue Bio Value,Seaworthy Collective",,2014,checked,$0,Scale-up / Industrialisation
Algas Pacific,Mexico,"Farming & harvesting,Applications",https://algaspacific.com/,,,Plant & soil nutrition,,,,,,$0,
Algas Panameñas,Panama,Farming & harvesting,https://www.algaspanamenas.com/,,Nearshore,,,,,2024,,$0,
Algas Rio,Brazil,Processing,https://www.algasrio.com.br/,,,,Biorefinery,,,2024,,$0,
Algasbras,Brazil,"Farming & harvesting,Applications",https://algasbras.com.br/,Kappaphycus alvarezii,Aquaculture,"Hydrocolloids,Plant & soil nutrition",Carrageenan,,,2001,,$0,
Algastech,Brazil,Farming & harvesting,https://algastech.com.br/,Kappaphycus alvarezii,Aquaculture,"Plant & soil nutrition,Food",,,,2020,checked,$0,Validation / Traction
Algatec,Brazil,"Farming & harvesting,Applications",https://algatec.com.br/,Kappaphycus alvarezii,Nearshore,Plant & soil nutrition,,,,,,$0,
Algea (Valagro / Syngenta),Norway,"Farming & harvesting,Applications",https://www.algea.com/,Ascophyllum nodosum,Wild harvesting,"Feed,Plant & soil nutrition",Livestock feed,,,1937,checked,$0,Acquired / Merged
AlgeaNova,Dominican Republic,"Farming & harvesting,Applications",http://www.algeanova.com/,Sargassum sp.,Wild harvesting,"HABs,Paper / cardboard,Plant & soil nutrition",,,,2016,checked,$0,Validation / Traction
Algenladen GmbH,Germany,Distribution,https://www.algenladen.de/,"Ulva sp.,Undaria sp.,Porphyra sp.,Fucus sp.,Laminaria sp.,Palmaria palmata,Saccharina latissima,Chondrus crispus,Himanthalia elongata,Alaria esculenta,Ascophyllum nodosum,Codium tomentosum,Lithothamnium calcareum",,,,,,2017,checked,$0,Validation / Traction
Algenprojekt,Germany,Infrastructure & equipment,https://www.algenprojekt.de/,,"Aquaculture,Onshore",,,,,,,$0,
Algeon Materials (failed),USA,Applications,,,,Bioplastics / biomaterials,,"startBlue,Maritime Blue",,2021,checked,$0,Failed / Zombie
Algetun,Norway,Processing,https://www.algetun.no/,,,,Whole-plant,,,2016,checked,$0,Pilot / Demonstration
Algine Plus,Sweden,"Farming & harvesting,Applications",http://www.algineplus.com/algineplus.htm,,Wild harvesting,Nutraceuticals,,,,,,$0,
Alginnova,Sweden,Monitoring tech & software,https://www.alginnova.se/,,,,,,,2023,,$0,
Alginor,Norway,Processing,https://alginor.no/,Laminaria hyperborea,Wild harvesting,,Biorefinery,"EASME - EU Executive Agency for SMEs,Hatteland Group,Borregaard,European Innovation Council Fund (EIC Fund),Must Invest AS",,2014,checked,"$83,350,000",Validation / Traction
Algipharma,Norway,Applications,https://algipharma.com/,,,Pharmaceuticals,,,,2006,checked,$0,Pilot / Demonstration
ALGÓ,Iceland,"Farming & harvesting,Applications",https://algois.com/,,,Food,,,,,,$0,
Algo Paint,France,Applications,https://www.peinture-algo.fr/,,,"""Pigments, inks, dyes, coatings""",,"Amundi,EDF,Mer Invest (Banque Populaire Grand-Ouest),Crowdfunding",,2015,checked,"$3,540,000",Validation / Traction
Algo'manne,France,Farming & harvesting,https://algomanne.com/,"Alaria sp.,Himanthalia elongata,Palmaria palmata,Porphyra sp.,Saccharina latissima,Ulva sp.,Undaria Pinnatifida",Wild harvesting,Food,,,,,,$0,
Algocea,France,Farming & harvesting,https://www.algocea.com/,,Wild harvesting,Food,,,,,,$0,
Algolesko (Aleor),France,Farming & harvesting,https://www.algolesko.com/,"Saccharina latissima,Palmaria palmata","Aquaculture,IMTA",,,Crowdfunding,,2013,checked,"$1,397,433",Validation / Traction
Algologie,France,Applications,https://www.algologie.com/,,,Personal care,,,,,,$0,
Algopack,France,Applications,https://www.algopack.com/,"Sargassum sp.,Laminaria sp.",,Bioplastics / biomaterials,,,,2010,checked,$0,Validation / Traction
Algoplus,France,Farming & harvesting,https://www.algoplus-roscoff.fr/,"Laminaria digitata,Palmaria palmata,Porphyra sp.,Ulva lactuca,Undaria sp.",Wild harvesting,,,,,,,$0,
Algorythme,France,Farming & harvesting,https://algues-iledere.com/,,Wild harvesting,Food,,,,,,$0,
Algroupe (Algood),France,"Applications,Processing",https://www.algood.fr/,,,Food,,,,2019,,$0,
Algues Armorique,France,Farming & harvesting,https://algues-armorique.com/,"Alaria sp.,Chondrus crispus,Fucus sp.,Himanthalia elongata,Lithothamnium calcareum,Palmaria palmata,Porphyra sp.,Saccharina latissima,Ulva sp.,Undaria sp.",Wild harvesting,,,,,,,$0,
Alimex,Chile,Farming & harvesting,https://www.alimex.cl/alimex-in/alimex-seaweed-in,"Gigartina radula,Lessonia nigrescens,Lessonia trabeculata,Durvillaea antarctica,Macrocystis pyrifera",Wild harvesting,,,,,,,$0,
Alles Alge,Germany,Multi-stakeholder platform,https://www.alles-alge.de/,,,,,,Growing the industry,,,$0,
Aloba Foods,Sweden,Applications,https://www.alobafoods.com/,,,Food,"Meat substitute,Snacks and seasoning",,,2019,,$0,
Alpha Seaweed (PT. Gemilang Berkat Nusantara),Indonesia,Farming & harvesting,https://alphaseaweed.com/,"Ulva sp.,Sargassum sp.,Gelidium sp.,Gracilaria sp.","Aquaculture,Wild harvesting",,,,,,,$0,
Alquimar,Mexico,Applications,https://alquimar.com.mx/,Sargassum sp.,,"Plant & soil nutrition,Pharmaceuticals,Hydrocolloids","Alginate,Fucoidans",,,,,$0,
Amadeite,France,"Applications,Processing",,,,Nutraceuticals,,,,2022,,$0,
Amarta Carrageenan Indonesia,Indonesia,Applications,https://www.amartacarrageenan.com/home,,,Hydrocolloids,Carrageenan,,,,,$0,
AMJ Hydrocolloids / Central Pulau Laut,Indonesia,"Farming & harvesting,Applications",https://amjhydrocolloids.com/,"Kappaphycus alvarezii,Gracilaria sp.,Eucheuma denticulatum","Nearshore,Onshore",Hydrocolloids,Carrageenan,,,,,$0,
AMO (Ako'y Magsasakang Organiko),Philippines,Applications,https://www.amoagriventures.com/,,,Plant & soil nutrition,,,,,,$0,
Andermatt,Switzerland,Applications,https://www.andermatt.com/,Ascophyllum nodosum,,Plant & soil nutrition,,,,,,$0,
Andi-Johnson Group (Fujian Ansen Marine Biotech),China,Applications,http://www.andi-johnsongroup.com/,,,Hydrocolloids,"Agar,Carrageenan",,,,,$0,
Aomori Seaweed Association,Japan,Multi-stakeholder platform,https://aomorikaisou.site/,,,,,,Producers association,,,$0,
Aotearoa New Zealand Seaweed Association,New Zealand,Multi-stakeholder platform,https://anzsa.org.nz/,,,,,,Growing the industry,,,$0,
Aqitec,Netherlands,Infrastructure & equipment,https://www.aqitec.com/,,,,,,,,,$0,
Aqua Botanika,UK,Farming & harvesting,https://www.aquabotanikafarm.co.uk/,Saccharina latissima,Aquaculture,,,,,,,$0,
Aqua Veggies,Canada,Farming & harvesting,https://aquaveggies.com/,Palmaria palmata,Wild harvesting,,,,,,,$0,
AquaBloom,Indonesia,Applications,,,,,,,,2024,checked,$0,Research / product development
Aquagri,India,"Applications,Farming & harvesting",https://aquagri.in/,,Aquaculture,"Hydrocolloids,Feed,Plant & soil nutrition,Bioplastics / biomaterials","Carrageenan,Alginate",,,2008,checked,$0,Validation / Traction
Aquamoor,UK,Infrastructure & equipment,https://www.aquamoor.co.uk/,,,,,,,,,$0,
Aquarev Industries,India,Applications,http://www.aquarev.in/,,,Hydrocolloids,Carrageenan,,,2011,,$0,
Aquavertica,Netherlands,Farming & harvesting,https://aquavertica.com/,,Onshore,,,,,2024,checked,$0,Research / product development
Aquazor,Portugal,Farming & harvesting,"https://www.europarl.europa.eu/cmsdata/197672/Presentation%20by%20Mr.%20Lopes,%20Aquazor.pdf",Codium sp.,"Aquaculture,IMTA,Onshore",,,,,2016,,$0,
Araki Seaweed Shop,Japan,Applications,https://www.arakinoriten.com/,,,Food,Dried/raw seaweed,,,,,$0,
Arbon Earth,Sweden,Farming & harvesting,https://arbon.earth/,,Aquaculture,Carbon sequestration,,,,2024,,$0,
ARCA SpA,Chile,Farming & harvesting,https://www.linkedin.com/in/robinson-araya-pizarro-b6a69155/,,,,,,,2013,,$0,
Arctic Seaweed,Norway,Farming & harvesting,https://aseaweed.com/,"Alaria esculenta,Saccharina latissima",Aquaculture,,,"Orkla,Morten Kroslid",,2017,checked,$0,Validation / Traction
Argyll Aquaculture,UK,Consulting,https://argyllaquaculture.co.uk/,,,,,,,2015,,$0,
Aristotle's Lantern (failed),USA,Conservation & restoration,,,,,Urchin removal,Sea Ahead,,2021,checked,$0,Failed / Zombie
Arramara Teo,Ireland,"Farming & harvesting,Applications",https://www.arramara.ie/,Ascophyllum nodosum,Wild harvesting,"Feed,Plant & soil nutrition",Livestock feed,,,,,$0,
Asosiasi Rumput Laut Indonesia,Indonesia,Multi-stakeholder platform,https://www.arli.or.id/,,,,,,Producers association,,,$0,
ASPERLI (Seaweed Farmers Association/Asosiasi Petani Rumput Laut),Indonesia,Multi-stakeholder platform,,,,,,,Producers association,,,$0,
Atelier des algues (Algalys),France,Applications,https://www.atelierdesalgues.com/,,,Personal care,,,,,,$0,
Atembo Co.,Japan,Applications,https://www.atembo.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Athena,South Korea,Applications,http://www.athenasc.co.kr/,,,Personal care,,,,2005,checked,$0,Scale-up / Industrialisation
Atlantic Garden,UK,Applications,https://www.atlanticgarden.co.uk/,,"Wild harvesting,Aquaculture",Plant & soil nutrition,,,,2023,,$0,
Atlantic Gold Seaweed,Ireland,"Farming & harvesting,Applications",https://www.atlanticgold.eu/,Ascophyllum nodosum,Wild harvesting,Plant & soil nutrition,,,,,,$0,
Atlantic Holdfast,USA,Farming & harvesting,https://atlanticholdfast.com/,,Wild harvesting,,,,,,,$0,
Atlantic Irish Seaweed,Ireland,Farming & harvesting,https://www.atlanticirishseaweed.com/,Fucus serratus,Wild harvesting,,,,,,,$0,
Atlantic Mariculture Canada,Canada,Farming & harvesting,https://organicdulse.com/,"Palmaria palmata,Ulva sp.,Alaria sp.,Porphyra sp.",Wild harvesting,,,,,1974,,$0,
Atlantic Mariculture Scotland (Tangled Greens),UK,"Farming & harvesting,Applications",https://tangledgreens.co.uk/,"Alaria esculenta,Saccharina latissima",Aquaculture,"Food,Plant & soil nutrition",,,,2018,checked,$0,Pilot / Demonstration
Atlantic Sea Farms,USA,"Farming & harvesting,Applications",https://atlanticseafarms.com/,,Aquaculture,Food,,"Desert Bloom Food Ventures,Builders Vision,Fresh Source Capital,Third Nature Ventures,True Wealth Ventures,Maine Venture Fund",,2009,checked,"$8,185,000",Validation / Traction
Atlantis Sea-Agri Group,South Africa,Applications,https://sea-agri.com/,Ecklonia maxima,Wild harvesting,Plant & soil nutrition,,,,,,$0,
Atlas,USA,Applications,https://www.atlanticseasolutions.com/,,,"""Pigments, inks, dyes, coatings""",,,,2024,checked,$0,Research / product development
AtSeaNova NV,Belgium,Infrastructure & equipment,https://atseanova.com/,,Wind/solar park multi-use,,,,,2016,checked,$0,Validation / Traction
Aurelis,Denmark,"Farming & harvesting,Applications",http://aurelis.dk/,"Kappaphycus alvarezii,Saccharina latissima,Palmaria palmata","Aquaculture,Nearshore,Onshore",Food,,,,2018,checked,$0,Pilot / Demonstration
Auskelp,Australia,Farming & harvesting,https://www.auskelp.net/,Ecklonia radiata,Aquaculture,,,,,2019,checked,$0,Research / product development
Austevoll Seaweed Farm (Flyt Seaweed),Norway,Farming & harvesting,https://www.flytseaweed.com/,Saccharina latissima,Aquaculture,Food,,,,2013,,$0,
Australian Kelp Products,Australia,"Farming & harvesting,Applications",http://auskelp.com.au/,,Wild harvesting,"Plant & soil nutrition,Feed",,,,,,$0,
Australian Seaweed Institute,Australia,Multi-stakeholder platform,https://www.australianseaweedinstitute.com.au/,,,,,,Growing the industry,,,$0,
Australian Sustainable Seaweed Alliance,Australia,Multi-stakeholder platform,https://www.seaweedalliance.org.au/,,,,,,Growing the industry,,,$0,
Ayibo Food,China,"Farming & harvesting,Applications",http://www.ayibofood.com/,Porphyra yezoensis,,Food,"Dried/raw seaweed,Snacks and seasoning",,,,,$0,
Azollae ,France,Farming & harvesting,https://azollae.fr/,,IMTA,Food,,,,,,$0,
B'zeos,Norway,Applications,https://www.bzeos.com/,,,Bioplastics / biomaterials,,"Sustainable Ocean Alliance,EIT Food Accelerator Network,Blue Bio Value,EIT Climate-KIC,FIT Food Tech,ICIG Ventures,Faber",,2017,checked,$0,Pilot / Demonstration
B&V,Italy,Applications,https://www.agar.com/en/,,,Hydrocolloids,Agar,,,,,$0,
Bada Myeongga Co.,South Korea,Applications,http://wandomall.co.kr/,"Undaria sp.,Porphyra yezoensis,Sargassum fusiforme,Gloiopeltis sp.,Capsosiphon fulvescens,Ecklonia cava,Ecklonia stolonifera,Gracilaria verrucosa,Codium fragile,Saccharina japonica",,Food,,,,,,$0,
Bahari Agro Indonesia,Indonesia,Farming & harvesting,https://bahariagro.com/,"Kappaphycus alvarezii,Sargassum sp.,Gracilaria sp.","Aquaculture,Nearshore,Onshore",,,,,2011,,$0,
Bahari Labs,South Africa,Applications,https://baharilabs.com/,,Onshore,Feed,Livestock methane reduction,Oceanhub Africa,,2023,checked,$0,Research / product development
Bahari Remedies,Tanzania,Financing & insurance,https://bahariremedies.co.tz/,,,,,,,2022,checked,$0,Research / product development
Bangs Island Mussels,USA,Farming & harvesting,https://www.bangsislandmussels.com/kelp,,Aquaculture,,,,,,,$0,
Bantimurung Indah,Indonesia,Applications,http://bantimurungindah.com/,,,Hydrocolloids,Carrageenan,,,1985,,$0,
BANYU,Indonesia,"Farming & harvesting,Breeding & propagation",,,,,,Intudo Ventures,,2024,checked,"$1,250,000",Research / product development
Barnacle Foods,USA,"Farming & harvesting,Applications",https://www.barnaclefoods.com/,,"Wild harvesting,Aquaculture",Food,,Sealaska,,2016,checked,"$1,500,000",Validation / Traction
Base Co.,Japan,Applications,http://base39.jp/index.html,,,Food,Dried/raw seaweed,,,,,$0,
Beacon Farms,Cayman Islands,Applications,https://www.beaconfarmscayman.org/,Sargassum sp.,,Plant & soil nutrition,,,,,,$0,
Bee Sea Kelp,Canada,Applications,,,Wild harvesting,"Plant & soil nutrition,Personal care",,,,,,$0,
"Beijing Century Bokang Pharmaceutical Technology Co., Ltd",China,"Applications,Farming & harvesting",,Fucus sp.,,Pharmaceuticals,,,,2005,,$0,
Belize Women’s Seaweed Farmers Association,Belize,"Farming & harvesting,Applications",https://sites.google.com/view/bwsfa/home,,Aquaculture,Food,,,,,,$0,
Benjo's Seamoss,Dominica,"Farming & harvesting,Applications",https://www.instagram.com/benjosseamoss/,,"Aquaculture,Nearshore",Food,,,,2001,checked,$0,Scale-up / Industrialisation
BeoBio Teoranta / Seamegro,Ireland,"Farming & harvesting,Applications",https://seamegro.com/,"Ascophyllum nodosum,Laminaria sp.","Wild harvesting,Aquaculture,Onshore,Nearshore","Plant & soil nutrition,Feed",,,,2017,checked,$0,Validation / Traction
BettaF!sh,Germany,Applications,https://bettafish.co/,,,Food,,"Pale Blue Dot,Astanor Ventures,SAGANA,Mudcake (prev. Trellis Road),DLF Ventures",,2020,checked,$0,Validation / Traction
Better Plants,Ireland,Applications,http://betterplants.ie/,Ascophyllum nodosum,,"Plant & soil nutrition,Feed","Livestock feed,Pet food",,,,,$0,
Bia Farraige Arann Seaweed,Ireland,"Farming & harvesting,Applications",https://www.linkedin.com/company/bia-farraige-arann-seaweed/about/,,Wild harvesting,"Food,Personal care",Snacks and seasoning,,,2017,,$0,
Big Island Abalone Corporation,USA,Farming & harvesting,https://www.bigislandabalone.com/,,"Aquaculture,Onshore",,,,,,,$0,
Bio Molenez,France,"Farming & harvesting,Applications",https://www.bio-molenez.com/,"Asparagopsis armata,Chondrus sp.,Corallina sp.,Fucus sp.,Himanthalia sp.,Laminaria sp.,Palmaria sp.,Ulva sp.,Ascophyllum nodosum,Pelvetia canaliculata",Wild harvesting,Personal care,,,,,,$0,
Bioalgas,Brazil,"Farming & harvesting,Applications",https://bioalgas.com.br/,Kappaphycus alvarezii,Aquaculture,"Hydrocolloids,Plant & soil nutrition",Carrageenan,,,2012,,$0,
BioAtlantis Limited,Ireland,"Applications,Farming & harvesting",https://www.bioatlantis.com/,"Laminaria hyperborea,Laminaria digitata,Ascophyllum nodosum",Wild harvesting,"Feed,Nutraceuticals,Plant & soil nutrition",Livestock feed,Kernel Capital,,2004,checked,$0,Mature / Public
biobentos,Chile,"Processing,Applications",https://www.biobentos.cl/,Macrocystis pyrifera,,Plant & soil nutrition,,,,2022,checked,$0,Validation / Traction
Biocean,France,Farming & harvesting,https://www.biocean-algues-marines.com/,"Fucus vesiculosus,Himanthalia elongata,Palmaria palmata,Porphyra sp.,Saccharina latissima,Ulva lactuca,Undaria sp.,Codium sp.,Laminaria ochroleuca,Laminaria hyperborea,Undaria Pinnatifida,Pelvetia canaliculata,Ascophyllum nodosum,Halydris siliquosa,Cystoseira sp.,Chondrus crispus,Delesseria sanguinea,Dilsea carnosa,Corallina sp.,Gigartina stellata",Wild harvesting,,,,,,,$0,
