,Scientific Name,Common name,Division,Micro/Macro,Color,Water type (marine/fresh/brackish/terrestrial),Geographic Positioning within Europe,Habitat,Invasive?,"Invasive information (where, how, strategies, etc.)",Water temperature for growth (C),Optimal water temperature for growth (C),Salinity for growth (PSU),Depth range (m),Is the algae facing changes with rising sea temp?,Unnamed: 15,Temperature tolerance,Thickness/size,Status (impacted by humans?),Already on the market?,Listed in EU Novel Food Catalogue,Food supplement at Union list of Novel Foods,"production cost (high or low and what does that mean, laborintensive, complex processing)",Can it be grown in a polyculture?,Where/how is it grown? lab/farm/wild,Growth rate + specify if in wild or cultivation (can be in terms of biomass yield) ,Harvesting/collection methods,Time of Harvest (incl # times a year),processing/extraction methods,Country (that uses the algae),Region in europe,Seaboard,Nutritional Profile,take up,of meavy metals (Y/N),Companies using the algae + their product,Industrial applications,Extracts,Agriculture,Art materials + cosmetics,Packaging + materials,Environment,Carrier of other organisms?,Human consumption,Medicinal,Risks + dangers,usage within agriculture + products,medicinal,Flavor/Diet,medicinal/health,Flavor/Diet.1,other,Additional properties,Unnamed: 53,Synonyms,Genus,Species
10,Ascophyllum nodosum,"Knotted wrack, egg wrack; Irish: Feamainn bhuí",Phaeophyta,Macro,brown,marine,North Atlantic; Portugal to the White Sea; Iceland and Greenland,wave-sheltered rocky shores,No,"However, it tends to be a vector for invasive invertebrates and algae",4 to 23 °C,-15 °C,25-35,0 to 10 m,Not likely,germinates at a range of temperature and light conditions; new source: could be pushed out of optimal region due to warm waters,no germination below 3C or above 23C (optimal = ~10C),,occurs at intertidal zones from mid-tides to extreme low water mark (can occur at no tide zones too) - may translate to resilience against rising sea level. germinates at a large range of temperatures and light conditions.,yes,yes,,,,,,"harvested by hand in Ireland using traditional techniques that differ among regions. Recently the use of rakes and the use of mechanical harvesters have been introduced (Ireland), mechanical harvesters equipped with adjustable rotating cutting blades are used to collect (Iceland), main volumes are harvested with the use of seaweed trawlers and mechanical cutting (Norway), harvested by hand (France)",two potenial harvest dates: March + October (highest yield in terms of biomass),"development of a method: green biorefinery process for obtaining fucoidan, laminarin, mannitol, alginate and protein using hydrochloric acid + green extrraction solvent",,,,"good sources of fucoidan, laminarin, protein and mannitol",Yes,was found to have biochar properties for copper removal,,,,extract used to improve the growth of K. alvarezii and reduce the impact of diseases (epiphytes like Cladophora sp. and Ulva sp. disappeared after 2 weeks of bathing in solution with extract). New source: extract used as a biostimulant for the improvment of plant growth and deveopment for tomato cultivation under moderate water-deficit stress in study - showed promising results; also may make up to 5% of the diet of livestock (food additive),,"used as packing material for baitworms, lobsters/other shellfish",,"yes, invasive invertebrates and algae",,"limited research on direct effects on humans/animals but - there is some evidence suggesting that Ascophyllum nodosum supplementation in animal diets may reduce plaque and calculus accumulation in dogs and cats, supporting oral health; anti-coagulant, antithrombotic and antiinflammatory properties",,extract used to improve the growth of K. alvarezii and reduce the impact of diseases (epiphytes like Cladophora sp. and Ulva sp. disappeared after 2 weeks of bathing in solution with extract). New source: extract used as a biostimulant for the improvment of plant growth and deveopment for tomato cultivation under moderate water-deficit stress in study - showed promising results,"limited research on direct effects on humans/animals but - there is some evidence suggesting that Ascophyllum nodosum supplementation in animal diets may reduce plaque and calculus accumulation in dogs and cats, supporting oral health",,,,,,,,Ascophyllum,nodosum
11,Asparagopsis spp.,"harpoon weed, harpoon algae",Rhodophyta,Macro,red,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asparagopsis,
12,Asparagopsis taxiformis,Red Sea plume,Rhodophyta,Macro,red,marine,,"Grows on solid substrates on reef or rocky shores exposed to moderately strong water movement. Also on mangrove prop roots, coral, rocks...Gametophytes grow on rock faces and compacted sand and gravel",yes,Spain (except Canarias) and Portugal; Isreali side of the Mediterranean,-20 to 15 °C,,34-38,,,,,,,,,,,,,,,,,,,,,,,,antifungal,,,,,,,yes,used to control/cure goiter,,,,,,,,,,,Asparagopsis,taxiformis
13,Asperococcus fistulosus,thin sausage weed,Phaeophyta,Macro,brown,marine,,"Epiphytic on older plants of Fucus and other brown algae, mid-intertidal pools, and lower intertidal.",,,-15 to 10 °C,,30-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asperococcus,fistulosus
14,Auxenochlorella protothecoides,,Chlorophyta,Micro,green,"freshwater, terrestrial",,"sap of poplar and elm trees in Germany, also found in freshwater",no,,5 to 40 °C,-30 to 25 °C,,,,,,,,,yes,,"production cost of algae biofuel is still high but has the potential to become competitive. Plate-frame filter, natural drying, and ball milling methods were used to process A. protothecoides, which minimized the amount of large/energy-intensive equipment required for processing",,lab grown using heterotrophic cultivation,,,,"Plate-frame filter, natural drying, and ball milling",,,,,,,,biofuel/biodiesel production,,,,,,,protein and carbohydrates,,,,,,,,,,,,Auxenochlorella,protothecoides
15,Auxenochlorella pyrenoidosa,,Chlorophyta,Micro,green,freshwater,,,no,,-30 to 20 °C,,0-1ppt,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,antioxidative ingredients in food,,,,,,,,,,,,Auxenochlorella,pyrenoidosa
16,Bifurcaria bifurcata,"brown tuning fork weed, brown forking weed",Phaeophyta,Macro,brown,marine,"Atlantic coasts of France, Spain, Portugal, south and west costs of England and west coast of Ireland","rock pools on the middle and lower shore, particularly on exposed beaches",no,,-20 to 10 °C,,30-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bifurcaria,bifurcata
17,Bonnemaisonia asparagoides,bonnemaison's asparagus weed,Rhodophyta,Macro,red,marine,Ireland and Britain,"rock, very low intertidal or subtidal, widely distributed, frequent in the subtidal",no,,-15 to 10 °C,,25-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonnemaisonia,asparagoides
18,Bryopsis plumosa,mossy feather weed,Chlorophyta,Macro,green,marine,Mediterranean Sea (warmest parts),"tropical/subtropical areas, rocky substrates",no,,-25 to 20 °C,,32-35ppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bryopsis,plumosa
19,Calliblepharis jubata,false eyelash weed,Rhodophyta,Macro,red,marine,"Ireland, Mediterranean, North Atlantic, North Sea","epilithic and epiphytic and can grow on other seaweeds, on rocks in pools of the lower eulittoral zone, down into the Laminaria zone. It can also be found in both sheltered and moderately exposed localities and is tolerant of some sand cover. -- grows often on Corallina officinalis in large open pools, midtidal to shallow subtidal","no, native to Portugal",,-15 to 10 °C,,30-35,0 to 15 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calliblepharis,jubata
20,Catenella caespitosa,creeping chain weed,Rhodophyta,Macro,red,marine,,"middle to upper levels of rocky shores, but is restricted to sheltered and shaded conditions. It can also sometimes be found in estuaries. It often grows together Gelidium pusillum",no,,-20 to 10 °C,,30-38,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catenella,caespitosa
21,Caulerpa lentillifera,"Small seagrape, Spain: Alga caulerpa; Germany: Kleine Meerestraube; Sweden: Sjödruvealg",Chlorophyta,Macro,green,marine,"Gemany, Spain, Sweden","shallow, sandy to muddy lagoon and reef flats which are not exposed during low tides and where the water is generally calm","not native, no information on invasiveness",,20 °C,-30 to 25 °C,30-40ppt,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caulerpa,lentillifera
22,Caulerpa taxifolia,Killer algae,Chlorophyta,Macro,green,"marine, brackish","Native to the Indian and Pacific Oceans. Invasive in Europe found in the Mediterranean, including France, Italy, Spain and Croatia.","harbors, lagoons, and open coasts, on sandy, rocky, muddy bottoms, and seagrass beds (Posidonia oceanica and Cymodocea nodosa), in the Mediterranean Sea",yes,"Spain, Mediterranean",-40 to 22 °C,-28 to 25 °C,30-40 ppt (reports about survival and growth as low as 10 and as high as 50),Intertidal to 100 m,,"Will likely thrive with climate change based on studies showing its high growth under higher temp, pCO2 and lower pH.",,,,"yes (aquarium trade, also for culinary purposes outside of Europe)",,,"low, shown to be a good source of fish feed (economically and nutritionally speaking)",,,,,year round,,,,,,,,,laboratory use according to this source--potentially agar?,,,,,,,,,,,,,"Though people use fucus for thyroid disorders, obesity, anti-aging, constipation, and other health related concerns, there is no scientific data to back up these claims or its usefulness for these conditions",,Serious impact to Mediterranean Sea,,,,Caulerpa,taxifolia
23,Ceramium tenuicorne,"CPU note: Might be Red Algae, Ullsläke (in Sweden), Slender Horn Wrack or Slender Ceramium",Rhodophyta,Macro,red,"marine, brackish","Found in the brackish Baltic Sea. New source: Found in waters all over the world, but more abundant in temperate waters.",,no,,,33 to 35 °C,4 to 30 (optimal salinity),2 to 8 m,Not likely,relatively high optimal temperature so likely will be less affected than other species,"37.4C had a suppressive effect on growth, much warmer than most species in this matrix","no more than 30cm in length, somewhat hairy, so the fronds are not thick",,,,,most common red alga species in the Baltic,,,,,,,,,,,,,,,,,,,,,,therepeutic properties particularly in the treatment of glioblastoma and uveal melanoma (anti-tumour/cancer properties). also contains fucoidans which have potential medicinal applications.,,,,,,,,,,,Ceramium,tenuicorne
24,Chaetoceros muelleri,,Bacillariophyta,Micro,"brown, golden brown","marine, freshwater",,,no,,-20 to 5 °C,,5--20,0 to 1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaetoceros,muelleri
25,Chaetomorpha linum,flax brick weed,Chlorophyta,Macro,green,"marine, brackish, freshwater","British Isles, Mediterranean","intertidal and supralittoral species that can be found in groups of hundreds or thousands of individuals in sandy areas, on rocks or around tide pools",no,,,-28 to 18 °C,20-40ppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaetomorpha,linum
26,Chlorella sorokiniana,,Chlorophyta,Micro,green,"freshwater, terrestrial",,,no,,10 to 40 °C,-30 to 25 °C,0-5ppt,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chlorella,sorokiniana
27,Chlorella sp.,Chlorella,Chlorophyta,Micro,green,"freshwater, terrestrial",,,,,,,,,,,,,,Yes,,,,yes,,,,,,,,,Rich in vitamin B12,,,,biofuels,"polysaccharides used in many industries, like food, pharmaceuticals, etc.",,intact microalga cells used to soften and make skin and hair flexible,,,,protein and carbohydrates,,,,,"Used in many foods, can be made into a flour, even milk, cheese, and ice cream.",,,,,,,Chlorella,
28,Chlorella vulgaris,,Chlorophyta,Micro,green,"freshwater, terrestrial",,,no,,,-35 to 25 °C,0-10ppt,,,,,,,,yes,,,,grown mixotrophically in labs,,,,,,,,"10% minerals and vitamins, 5% fiber, 20% carbohydrates, 20% fat, and 45% protein (w/w, dry basis)",,,,silver nanoparticals,,feed supplements,antioxidants for topical creams,,,,"beverages, feed, food, emulsifiers, thickeners, stabilizers, etc, also have applications as a protein source","Extracellular polysaccharides produced by Chlorella vulgaris caused significant antitussive effects, anti-inflammatory and bronchodilatory in test animals. Chlorella extracellular polysaccharide seems to be an effective agent to prevent chronic inflammation of the airway, which is the predominant symptom of certain respiratory diseases",,,,,,,,,,,Chlorella,vulgaris
29,Chondracanthus acicularis,creephorn,Rhodophyta,Macro,red,marine,Adriatic Sea,"On rocks, lower intertidal, generally uncommon but may be locally common on sheltered, silty shores in the lower intertidal, southern and western shores reaching its northern limit on the mid-western Irish coast",no,,-20 to 10 °C,,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gigartina acicularis,Gigartina facata",Chondracanthus,acicularis
30,Chondracanthus teedei,,Rhodophyta,Macro,red,marine,"Ireland, Mediterranean, North Atlantic, North Sea, Seychelles",,no,,-25 to 10 °C,,30-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gigartina teedei,Chondracanthus,teedei
31,Chondrus crispus,"Irish moss, Golden Sea moss, carraghean, jelly moss",Rhodophyta,Macro,red,marine,"rocky coastlines of Europe particularly in the North Atlantic Ocean (Ireland, Scotland, Norway, Iceland)","On rocks (above), in pools, lower intertidal and shallow subtidal",no,,,,,,yes,is predicted to be pushed out of the warm-temperate region of the North Atlantic due to global warming,,7-15cm,,yes,yes,,,,,,"harvested manually from shore, on foot, during low tides or from vessels by diving (Atlantic coast of Spain), harvested by hand (France)",,,,,,"carrageenen - anti viral, expectant (shifts phlegm of chest)",,,Dalton marine cosmetics uses C. crispus in their twin red algae extract,,used for the extraction of carrageenans (Atlantic coast of Spain),,,,,,food additive E407; used mostly as a thickener/gelling agent,,,"used for the extraction of carrageenans (Atlantic coast of Spain), has been known to hinder growht and toxin production of Alexandrium catenella in aquaculture settings",,,,,,,,,Chondrus,crispus
32,Chondrus spp.,,Rhodophyta,Macro,red,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chondrus,
33,Chorda filum,"Baltic Spaghetti , dead men's ropes, mermaid's tresses, sea lace",Phaeophyta,Macro,brown,"marine, brackish","Ireland, Great Britain, Shetland Isles, Isle of Man","sheltered bays, estuaries, lagoons and sea lochs...The plants occur in clumps on a range of unstable, small objects such as pebbles and shells",no,,-15 °C,,Apr-35,20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chorda,filum
34,Chordaria flagelliformis,slimy whip weed,Phaeophyta,Macro,brown,marine,"Ireland, North Atlantic, North Sea, Norway, Sweden","low littoral to shallow sublittoral on rock, wood or as epiphyte",no,,-15 to 5 °C,,20-35,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chordaria,flagelliformis
35,Cladophora glomerata,"Kützing, Green filamentous algae, Grönslick (swedish)",Chlorophyta,Macro,green,"marine, brackish, freshwater","north America (especially great lakes), Europe, Atlantic Islands, Carribean Islands, Asia, Africa, New Zealand","Common in unshaded waters especially during summer low flow. May be found under a variety of conditions, but reaches problem levels in lakes with a combination of rocky shorelines and high phosphate, and seems more common in warmer streams further north in New Zealand.",potentially; can induce invasion of dreissenid mussels; blooms have also been an issue in the US,,9 to 30 °C,,A study foud that the biomass decreased with increasing salinity - so prefers lower salinity levels for optimal growth,< 5 m,Yes,"sensitive to temp changes, and high summer temps",sensitive to temperature changes,filament length 30–50 cm,Causes a series of environmental problems so utilization is an environmetnal demand. New source: proliferates in P -rich environments then drifts towards shore in rotting masses ffrom major seasonal die-offs (increased N can also cause similar result),,,,,yes - has the potential to,"wild - too much growth, many places need to remove large collections of biomass from water systems (esp freshwater)","high - Maximum 0.77 day−1 (no units per day were specificed, assumed cm? or measurement of respiration volume growth)","Somewhat difficult : sometimes attached, sometimes free floating, and its appearance/characteristics vary based on environmental conditions. new source: use of surface-flow constructed wetlands (SFCW) dominated by Cladophora remove and reclaim nutrients in diffuse domestic effluent (simultaneously controls growth rate)","biannual - 2 peaks in biomass observed july + september (in Neva estuary, Gul of Finland)","can be converted into biofeul via pyrolysis. New source: hydrothermal liquefaction (HTL), which involves the conversion of Cladophora glomerata into biocrude oil (biocrude oil made has high heating values). new source: hydrothermal gasification for hydrogen-rich gas production",serveral asian countries,,,"crude protein content ranging from 16% to 21.5% DM, high content of essiatial amino acids and polyunsaturated fatty acids (highest found 11.7%), minerals like Ca, K, Mg, and trace elements of Zn and Cu",No,they are quite sensitive to metals in the ocean,,production of hydrogen and syngas through catalytic gasification new source: can be converted into biochar for use as an anode electrode in lithium-ion batteries.,"source of phytochemicals in various industries, including food, confectionary, textiles, pharmaceuticals, dairy, and paper industries",eco-nematicide for tomato plants infected by Meloidogyne javanica (it is an extract used for agricultural uses - MAYBE WRONG CATEGORY - should it go under industrial uses or extracts maybe?),,,"phycoremediation of industrial wastewater. New source: overgrowing in irrigation systems and drainage canals, clogging of water intakes leading to power outages, overgrowth and displacement of benificial aquatic plants, reductions in invertebrate densities and fish spawning, reduction in species biodiversity, anoxia from decaying mats resulting in kills of other aquatic life, retention of pathogenic microbes such as Escherichia coli Migula and enteroocci fecal bacteria as a potential human health hazard, negative effects on recreational use of affected shoreline and nearshore areas, and depressed property values of adjacent homes.",,,synthesis of silver nanoparticles with potential anti-cancer and anti-tumor activities. New source: consumed by humans in several Asian countries as part of traditional medicine preparations,"blooms that move shoreward attract gulls which add fecal material to the rotting algae. high densities of E. coli and other fecal bacteria have been documentated in decomposing mats posing potential human threat (in Great lakes). New source: has been found to harbor various pathogens that pose potential risk to humans who cosume the algae (Shiga toxin-producing Escherichia coli (STEC), Salmonella, Shigella, and Campylobacter). New source: AFFECTS INCL: overgrowing irrigation systems and drainage canals, clogging of water intakes leading to power outages, overgrowth, and displacement of beneficial aquatic plants, reductions in invertebrate densities and fish spawning, reduction in species biodiversity, anoxia from decaying mats resulting in kills of other aquatic life, retention of pathogenic microbes such as Escherichia coli Migula and enteroocci fecal bacteria as a potential human health hazard, negative effects on recreational use of affected shoreline and nearshore areas, and depressed property values of adjacent homes.","production of hydrogen and syngas through catalytic gasification. New source: eco-nematicide for tomato plants infected by Meloidogyne javanica. new source: phycoremediation of industrial wastewater. new source: can be converted into biochar for use as an anode electrode in lithium-ion batteries. new source: source of phytochemicals in various industries, including food, confectionary, textiles, pharmaceuticals, dairy, and paper industries",synthesis of silver nanoparticles with potential anti-cancer and anti-tumor activities,consumed by humans in several Asian countries as part of traditional medicine preparations,blooms that move shoreward attract gulls which add fecal material to the rotting algae. high densities of E. coli and other fecal bacteria have been documentated in decomposing mats posing potential human threat (in Great lakes),"has been found to harbor various pathogens that pose potential risk to humans who cosume the algae (Shiga toxin-producing Escherichia coli (STEC), Salmonella, Shigella, and Campylobacter)","AFFECTS INCL: overgrowing irrigation systems and drainage canals, clogging of water intakes leading to power outages, overgrowth, and displacement of beneficial aquatic plants, reductions in invertebrate densities and fish spawning, reduction in species biodiversity, anoxia from decaying mats resulting in kills of other aquatic life, retention of pathogenic microbes such as Escherichia coli Migula and enteroocci fecal bacteria as a potential human health hazard, negative effects on recreational use of affected shoreline and nearshore areas, and depressed property values of adjacent homes.",,,,Cladophora,glomerata
36,Cladophora rupestris,common green branched weed,Chlorophyta,Macro,green,"marine, brackish","Atlantic coast from Scandinavia to the Mediterranean, Adriatic, Baltic Sea, Murman Sea, White Sea.","rock pools, on the surface of rocks, hanging in 'ropes' in crevices or forming undergrowth to macroalgae at all levels on the shore",no,,10 to 20 °C,,0-5ppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cladophora,rupestris
37,Cladosiphon okamuranus,Okinawa mozuku,Phaeophyta,Macro,brown,marine,"does not grow in Europe; occurs in Okinawa, Japan",,"not native, no information on invasiveness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cladosiphon,okamuranus
38,Coccotylus truncatus,Swedish: Kilrödblad,Rhodophyta,Macro,red,"marine, brackish","Ireland, Mediterranean, North Atlantic, Sweden","rocky substrate in the subtidal zone, preferably on sheltered locations",no,,-15 to 5 °C,,5--35,0 to 20 m,,,,,,,,,"simple process - lows costs. made into tea, powders, capsules, so it is simply dried in the sun and milled and then made into a powder in many instances",no,,,can be harvested by hand on the shore,,"used in food products or dried in the sun and made into a powder. New source: One study found that the most effective medium for the isolation of carrageenan mixture from Furcellaria lumbricalis-Coccotylus truncatus blend is a 0.05 M KOH solution, and the preferred duration of extraction is 3-4 hours",,,,,Yes,Contains heavy metals,,,,,,,,,,,,,,,,,,Coccotylus truncatus and Furcellaria lumbricalis are often observed together because they usually occur in similar areas,,,Coccotylus,truncatus
39,Codium fragile,"sponge seaweed, green sea-velvet, velvet horn, dead man's fingers, green sea fingers",Chlorophyta,Macro,green,marine,European distribution from Norway to Spain,can dominate canopy species in infralittoral rocky reef communities,Yes,Spain (except Canarias) and on the Mediterranean from Spain to Turkey,10 to 25 °C,,20-40ppt but 30-35 is best,0 to 15 m,,,,45cm long,,,,,,,,"in tank culture, branched specimens of Codium tomentosum develop into spiky ball-like structures due to the water movement",,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8064379/table/marinedrugs-19-00178-t004/?report=objectonly,,,,,,,"Amorepacific uses extract from this alga in its skincare to even skin tone, combat skin aging, and enhancing elasticity",,"Sulphated polysaccharides, Clerosterol, β-carotene, Siphonaxanthin (pigments), α, β, γ, δ-tocopherol, γ-tocotrienol (vitamins), Flavonoids, tannins, Serine protease",,,,"Elysia viridis is a small green sea slug with iridescent spots that feeds on Codium fragile sp. and retains the seaweed’s chloroplasts (site of photosynthesis within algal cells). Once eaten, the chloroplasts continue to function and are a source of energy to the sea slug.",,flavor is similar to goose barnacles,sulfated polysaccharides (SPs). The administration of this type of compounds reduced the oxidative damage associated with diabetes mellitus and obesity in several animal models without any cytotoxic effect,,,,,,,,,,,Codium,fragile
40,Codium spp.,Green sea fingers,Chlorophyta,Macro,green,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codium,
41,Codium tomentosum,velvet fingers,Chlorophyta,Macro,green,marine,north east Atlantic Ocean from British Isles to the Azores and Cape Verde,attaches to exposed rocks and occurs in rock pools on the lower shore,no,,-25 to 15 °C,,20-40ppt,0 to 15 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codium,tomentosum
